"nm" "bkm" "wfl" "SBez" "lage.15" "Makrolage" "NeuerVertrag" "dauermv" "gew.HH_Total" "gew.HH_Erw" "gew.md"
"77" 708.6 782.76 44 "Ludwigvorstadt-Isarvorstadt" 4 1 0 152 1.08798410055326 1.08272083389015 1.0008582768322
"78" 925.26 1016.94 44 "Ludwigvorstadt-Isarvorstadt" 3 1 1 28 1.08798410055326 1.08272083389015 0.961135367784455
"79" 543.71 617.71 55 "Ludwigvorstadt-Isarvorstadt" 3 1 0 189 1.08798410055326 1.08272083389015 1.0008582768322
"80" 1150 1284.46 69 "Ludwigvorstadt-Isarvorstadt" 3 1 0 61 1.08798410055326 1.08272083389015 0.961135367784455
"81" 705 798.13 47 "Ludwigvorstadt-Isarvorstadt" 3 1 1 10 1.08798410055326 1.08272083389015 0.961135367784455
"82" 870 951.12 48 "Ludwigvorstadt-Isarvorstadt" 3 1 0 45 0.543992050276629 0.541360416945076 0.961135367784455
"83" 601 671.16 36 "Ludwigvorstadt-Isarvorstadt" 3 1 1 17 1.08798410055326 1.08272083389015 0.961135367784455
"84" 846.32 1015.43 69 "Ludwigvorstadt-Isarvorstadt" 3 1 0 131 1.08798410055326 1.08272083389015 1.0008582768322
"85" 1115.5 1221.48 78 "Ludwigvorstadt-Isarvorstadt" 3 1 0 310 1.08798410055326 0.541360416945076 1.18452668384622
"86" 1200 1295.24 97 "Ludwigvorstadt-Isarvorstadt" 2 1 0 78 0.543992050276629 1.08272083389015 0.961135367784455
"87" 750 831.77 53 "Ludwigvorstadt-Isarvorstadt" 3 1 0 141 1.08798410055326 1.08272083389015 1.0008582768322
"88" 900 980 58 "Ludwigvorstadt-Isarvorstadt" 3 1 1 46 0.543992050276629 0.541360416945076 0.961135367784455
"89" 1200 1307.58 77 "Ludwigvorstadt-Isarvorstadt" 2 1 0 191 0.543992050276629 0.541360416945076 1.0008582768322
"90" 1097.5 1219.02 92 "Ludwigvorstadt-Isarvorstadt" 3 1 0 564 1.08798410055326 1.08272083389015 1.18452668384622
"91" 1188 1300 80 "Ludwigvorstadt-Isarvorstadt" 3 1 0 124 0.543992050276629 0.541360416945076 1.0008582768322
"92" 900 1050 80 "Ludwigvorstadt-Isarvorstadt" 2 1 1 13 1.08798410055326 1.08272083389015 0.961135367784455
"93" 1216.64 1334.95 92 "Ludwigvorstadt-Isarvorstadt" 3 1 0 920 1.08798410055326 1.08272083389015 1.18452668384622
"94" 1550 1750 102 "Ludwigvorstadt-Isarvorstadt" 3 1 0 134 0.543992050276629 0.541360416945076 1.0008582768322
"95" 518 628 27 "Ludwigvorstadt-Isarvorstadt" 3 1 1 24 1.08798410055326 1.08272083389015 0.961135367784455
"96" 1450 1624.8 80 "Ludwigvorstadt-Isarvorstadt" 2 1 1 48 1.08798410055326 1.08272083389015 0.961135367784455
"97" 980 1169.82 58 "Ludwigvorstadt-Isarvorstadt" 3 1 1 4 1.08798410055326 1.08272083389015 0.961135367784455
"98" 1200 1219.44 51 "Ludwigvorstadt-Isarvorstadt" 3 1 1 32 0.543992050276629 0.541360416945076 0.961135367784455
"99" 928.35 1018.83 87 "Ludwigvorstadt-Isarvorstadt" 3 1 0 309 1.08798410055326 1.08272083389015 1.18452668384622
"100" 1470 1590.29 59 "Ludwigvorstadt-Isarvorstadt" 3 1 0 44 0.543992050276629 0.541360416945076 0.961135367784455
"101" 1200 1300 50 "Ludwigvorstadt-Isarvorstadt" 3 1 1 57 1.08798410055326 1.08272083389015 0.961135367784455
"102" 462 575 100 "Ludwigvorstadt-Isarvorstadt" 3 1 0 411 1.08798410055326 1.08272083389015 1.18452668384622
"103" 1500 1720 62 "Ludwigvorstadt-Isarvorstadt" 3 1 1 9 1.08798410055326 1.08272083389015 0.961135367784455
"104" 1050 1200 54 "Ludwigvorstadt-Isarvorstadt" 3 1 1 9 1.08798410055326 1.08272083389015 0.961135367784455
"105" 542.82 590.66 46 "Ludwigvorstadt-Isarvorstadt" 3 1 1 50 1.08798410055326 1.08272083389015 0.961135367784455
"106" 1060 1107.05 65 "Ludwigvorstadt-Isarvorstadt" 2 1 1 1 1.08798410055326 1.08272083389015 0.961135367784455
"107" 1375 1680 94 "Ludwigvorstadt-Isarvorstadt" 3 1 1 4 0.543992050276629 0.541360416945076 0.961135367784455
"108" 1496 1646 128 "Ludwigvorstadt-Isarvorstadt" 3 1 1 64 0.543992050276629 0.541360416945076 0.961135367784455
"109" 984.88 1180.67 137 "Ludwigvorstadt-Isarvorstadt" 3 1 0 387 0.543992050276629 0.541360416945076 1.18452668384622
"110" 2450 2621.4 112 "Ludwigvorstadt-Isarvorstadt" 3 1 1 23 0.543992050276629 0.541360416945076 0.961135367784455
